sep=;
ID;Title;Country;Authors;License;Date
KNSR_4;Food Composition Table for use in The Gambia;Gambia;C.J. Prynne and A.A. Paul;None;xx-xx-2011
KNSR_5;FAO/INFOODS global food composition database for pulses. Version 1.0 - uPulses1.0;Global; Fernanda Grande, Barbara Stadlmayr, Morgane Fialon, Sergio Dahdouh Doris Rittenschober, T Longvah & U. Ruth Charrondiere;None;xx-xx-2017
